25 Arp 2025 16:00 Tournament A17. league 700-800								
5:30	Final	Sucharda Ja	 	777		0 : 3	11-13 10-12 5-11	-10
4:30	gr	Pycha P	 	751		3 : 2	12-14 11-3 8-11 11-6 11-8	+1.9
3:30	gr	Sychra M	 	782		3 : 0	11-4 11-2 11-5	+6.4
2:00	gr	Sopko M	 	737		3 : 2	11-8 8-11 12-10 8-11 13-11	+1.4
1:00	gr	Sucharda Ja	 	777		2 : 3	11-4 11-5 5-11 4-11 8-11	-5
13 Mar 2025 20:00 Tournament A17. league 700-800								
		Zuzanek J		802	2 place			+11.1
		Opponent		Rat.	Result			Delta
23:30	Final	Brazda A	 	786		2 : 3	11-4 7-11 13-11 4-11 4-11	-4.7
22:30	gr	Brazda A	 	786		3 : 0	11-8 12-10 20-18	+6.7
21:00	gr	Kadavy S	 	763		3 : 1	9-11 11-9 11-7 11-4	+3.7
20:00	gr	Sychra M	 	782		3 : 1	11-3 7-11 11-5 14-12	+4.8
9 Mar 2025 20:00 Tournament A14. league 800-900								
		Zuzanek J		786	1 place			+16.4
		Opponent		Rat.	Result			Delta
23:30	Final	Louda Ji	 	818		3 : 2	9-11 11-5 11-5 3-11 12-10	+5.2
22:30	gr	Hofman D	 	802		3 : 1	11-8 11-9 9-11 12-10	+6.9
21:30	gr	Louda Ji	 	818		1 : 3	8-11 11-8 5-11 8-11	-4.1
20:30	gr	Sucharda Ja	 	813		3 : 1	7-11 11-4 12-10 11-3	+7.6
7 Mar 2025 20:00 Tournament A17. league 800-900								
		Zuzanek J		771	2 place			+15.5
		Opponent		Rat.	Result			Delta
23:30	Final	Louda Ji	 	806		0 : 3	15-17 5-11 8-11	-5.2
22:00	gr	Hofman D	 	826		3 : 0	11-9 11-9 11-4	+12.4
21:00	gr	Sobisek M	 	833		3 : 0	11-7 14-12 11-9	+12.9
20:30	gr	Louda Ji	 	806		0 : 3	7-11 14-16 8-11	-5.2
6 Mar 2025 20:00 Tournament A14. league 800-900								
		Zuzanek J		790	4 place			-18.5
		Opponent		Rat.	Result			Delta
23:03	3rd	Louda Ji	 	804		1 : 3	6-11 9-11 14-12 6-11	-5.2
22:00	gr	Pacha R	 	824		0 : 3	8-11 2-11 6-11	-5.2
21:30	gr	Louda Ji	 	804		1 : 3	11-8 4-11 10-12 5-11	-5.2
20:00	gr	Zahradnik T	 	817		2 : 3	13-11 8-11 14-12 7-11 6-11	-2.9
5 Mar 2025 12:00 Tournament A17. league 700-800								
		Zuzanek J		818	2 place			-17.1
		Opponent		Rat.	Result			Delta
15:34	Final	Vondrak M	 	780		0 : 3	9-11 8-11 11-13	-11
14:00	gr	Vondrak M	 	780		0 : 3	4-11 6-11 8-11	-11
13:30	gr	Pycha P	 	750		3 : 2	8-11 11-7 10-12 11-5 11-3	+1.3
12:00	gr	Tazler Ja	 	767		3 : 1	7-11 11-6 11-6 11-4	3
5 Mar 2025 16:00 Tournament A17. league 800-900								
		Zuzanek J		818	3 place			-9.7
		Opponent		Rat.	Result			Delta
19:01	3rd	Tazler Ja	 	767		3 : 0	11-9 11-5 11-4	4
18:00	gr	Pacha R	 	809		0 : 3	7-11 9-11 10-12	-8.7
17:00	gr	Louda Ji	 	807		3 : 2	8-11 5-11 11-7 11-9 18-16	+3.6
16:30	gr	Tazler Ja	 	767		1 : 3	11-9 10-12 4-11 2-11	-9
3 Mar 2025 00:00 Tournament A12. league 700-800								
		Zuzanek J		788	1 place			+30.8
		Opponent		Rat.	Result			Delta
5:30	Final	Just F	 	803		3 : 2	13-15 11-9 11-7 4-11 12-10	+4.6
4:30	gr	Hlawatschke A	 	807		3 : 0	11-4 11-7 11-9	+9.6
3:00	gr	Just F	 	803		3 : 1	6-11 11-4 11-8 11-7	+6.9
1:30	gr	Kadavy S	 	789		3 : 1	8-11 12-10 11-8 11-8	+6.1
0:00	gr	Tazler Ja	 	757		3 : 2	11-6 7-11 7-11 15-13 11-4	+2.8
1 Mar 2025 12:00 Tournament A14. league 700-800								
		Zuzanek J		787	1 place			+1.3
		Opponent		Rat.	Result			Delta
15:30	Final	Just F	 	792		3 : 0	11-7 11-6 11-7	+8.4
14:01	gr	Tazler Ja	 	786		2 : 3	4-11 8-11 11-9 13-11 11-13	-4.1
13:00	gr	Just F	 	792		0 : 3	8-11 6-11 5-11	-7.6
12:30	gr	Pycha P	 	750		3 : 1	11-6 8-11 11-5 11-6	+3.8
27 Feb 2025 08:00 Tournament A12. league 800-900								
		Zuzanek J		785	3 place			-7.4
		Opponent		Rat.	Result			Delta
11:00	3rd	Louda Ji	 	854		3 : 2	12-10 11-8 11-13 8-11 11-6	+6.8
10:30	gr	Hlawatschke A	 	784		0 : 3	10-12 7-11 5-11	-8.1
9:00	gr	Dorko T	 	806		1 : 3	11-8 8-11 7-11 8-11	-4.7
8:00	gr	Louda Ji	 	854		1 : 3	14-16 11-8 5-11 2-11	-1.8
27 Feb 2025 16:00 Tournament A17. league 800-900								
		Zuzanek J		785	3 place			+10.6
		Opponent		Rat.	Result			Delta
19:00	3rd	Dorko T	 	806		3 : 0	11-7 11-6 11-6	+9.7
18:30	gr	Dorko T	 	806		3 : 1	11-9 11-6 9-11 11-6	+7.3
17:32	gr	Sedlak M sr.	 	851		1 : 3	11-8 6-11 8-11 7-11	-2
16:30	gr	Sobisek M	 	825		0 : 3	9-11 11-13 7-11	-4.8
26 Feb 2025 16:00 Tournament A14. league 800-900								
		Zuzanek J		789	4 place			-4.6
		Opponent		Rat.	Result			Delta
